"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://www.tops-int.com/","text/html; charset=UTF-8","200","OK","Indexable","","Top Computer Courses in India – Learn with TOPS Technologies","60","570","Join India’s leading institute for computer courses. Learn coding, design, data science & more. 100% job-focused training. Get certified today.","143","874","","0","Start Learning from India's Best IT Training Company","52","Placement Initiative for our Students","37","Other ways TOPS has proven to be Valuable","41","","","","https://www.tops-int.com/","","","","","","350297","33837","33837","13.177","","1792","509","3.521","66.872","Normal","5.243","0","0","","433","187","0","99.470","358","131","0","76","63","0","","","","","fca9f4817754f4063b7d610a83f94ff2","0.639","","","","","en","1.1","","https://www.tops-int.com/","2025-05-26 13:15:37"
"https://www.tops-int.com/online-php-training-course","text/html; charset=UTF-8","200","OK","Indexable","","Online PHP Course and Training - TOPS Technologies","50","474","Learn PHP One-on-One with Industry Expert Web Developers. Personal sessions on php, Laravel with 100% Practical Live Projects and Support. 100%  Job Placement Assistance at ✅ IT Companies","187","1203","Online PHP Course","17","PHP Training Course Online","26","Our Facts and Figures","21","Key Highlights","14","","","","https://www.tops-int.com/online-php-training-course","","","","","","234839","24633","24633","9.593","","1800","455","3.956","83.957","Easy","7.310","1","0","","386","187","0","99.470","270","127","0","23","17","0","","","","","93c95cc358baf6c751770703aedb7ddf","0.714","","","","","en","1.1","","https://www.tops-int.com/online-php-training-course","2025-05-26 13:15:41"
"https://www.tops-int.com/top-it-companies","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Top Computer Courses in India – Learn with TOPS Technologies","60","570","Join India’s leading institute for computer courses. Learn coding, design, data science & more. 100% job-focused training. Get certified today.","143","874","","0","Explore the Best Workplace","26","","0","","0","","","","https://www.tops-int.com/","","","","","","205257","22493","22493","8.760","","1666","320","5.206","46.163","Hard","9.057","1","0","","190","187","0","99.470","252","126","0","43","43","0","","","","","245ec03ccc0a3e3dffc12977dc58b83c","1.077","","","","","en","1.1","","https://www.tops-int.com/top-it-companies","2025-05-26 13:15:41"
"https://www.tops-int.com/digital-marketing-training-course-online","text/html; charset=UTF-8","200","OK","Indexable","","Online Digital Marketing Training Course - TOPS Technologies","60","547","Kickstart your career with our online digital marketing course! We offer the ✅ online classes & training with experts with live projects & 100% Job Placement Assistance. Join now!","179","1097","Online Digital Marketing Course, Digital Marketing Certification, Digital Marketing Training","92","Digital Marketing Training Course - Online","42","Our Facts and Figures","21","Key Highlights","14","","","","https://www.tops-int.com/digital-marketing-training-course-online","","","","","","220961","22940","22940","8.934","","1425","373","3.820","71.991","Fairly Easy","6.996","1","0","","385","187","0","99.470","270","127","0","17","11","0","","","","","f0fcf27560ace22a8f6814ea98199ffb","1.043","","","","","en","1.1","","https://www.tops-int.com/digital-marketing-training-course-online","2025-05-26 13:15:41"
"https://www.tops-int.com/it-training-maninagar","text/html; charset=UTF-8","200","OK","Indexable","","IT Training Courses in Maninagar Ahmedabad | No.1 Coding classes","64","601","Best IT Training Institute in Maninagar: Over 100k Students Trained and Placed. Offering 50+ Computer Courses, including Coding Classes, with 100% Placement Assistance.","168","1075","IT Training, Ahmedabad, CG Road, Python","39","Best IT Training Institute in Maninagar Ahmedabad: Offering Coding Classes and Courses with Over 100k Trained and Placed Students.","130","4 Location in Ahmedabad, 9 Location in Gujarat’s Top Cities","59","Life at TOPS, Ahmedabad (Maninagar)","35","","","","https://www.tops-int.com/it-training-maninagar","","","","","","300341","29851","29851","11.625","","1688","481","3.509","66.901","Normal","5.903","1","0","","584","187","0","99.470","348","169","0","33","24","0","","","","","d729b66523545a64c59c5df355070d3b","1.149","","","","","en","1.1","","https://www.tops-int.com/it-training-maninagar","2025-05-26 13:15:41"
"https://www.tops-int.com/webinar/careerinitwebinar31stmay","text/html; charset=UTF-8","200","OK","Indexable","","Best IT Training &amp; Placement Company in India | Tops Technologies","69","598","","0","0","","0","How to get a Job with Industrial Training","41","","0","","0","","","","https://www.tops-int.com/webinar/careerinitwebinar31stmay","","","","","","154579","15783","15783","6.147","","256","58","4.414","60.914","Normal","5.434","1","1","","508","187","0","99.470","249","124","0","6","6","0","","","","","e0719ed023205f9771d11c3930bbd1cb","0.323","","","","","en","1.1","","https://www.tops-int.com/webinar/careerinitwebinar31stmay","2025-05-26 13:15:43"
"https://www.tops-int.com/selenium-training-course","text/html; charset=UTF-8","200","OK","Indexable","","Selenium Course - TOPS Technologies","35","341","Our Institute offers the ✅ Selenium Course, classes & extensive training. Learn Selenium Certification Course with our experts to get a Job & have a successful career!","167","1019","Selenium Training Course, selenium course, selenium testing course, selenium automation testing course, selenium full course, selenium training certification course","164","Selenium Course","15","Our Facts and Figures","21","Key Highlights","14","","","","https://www.tops-int.com/selenium-training-course","","","","","","257809","27368","27368","10.658","","1855","467","3.972","68.492","Normal","7.032","1","0","","397","187","0","99.470","278","129","0","31","25","0","","","","","92365152c2edb8e6d45cc87653e19728","0.595","","","","","en","1.1","","https://www.tops-int.com/selenium-training-course","2025-05-26 13:15:45"
"https://www.tops-int.com/job-fest","text/html; charset=UTF-8","200","OK","Indexable","","Get Hired at JobFest – Your Next Career Starts Here","51","459","Kickstart your career at JobFest! Connect with leading employers, explore diverse job opportunities, and secure your next role. Your dream job is just one step away!","165","1013","","0","TOPS JobFest","12","TOPS Jobfest Event Gallery","26","Key Highlights","14","","","","https://www.tops-int.com/job-fest","","","","","","196171","19943","19943","7.767","","727","189","3.847","69.456","Normal","5.879","1","0","","576","187","0","99.470","261","127","0","16","16","0","","","","","8fb34ea1b601906d60f74e8a9a7b189d","0.411","","","","","en","1.1","","https://www.tops-int.com/job-fest","2025-05-26 13:15:46"
"https://www.tops-int.com/software-testing-training-course-online","text/html; charset=UTF-8","200","OK","Indexable","","Software Testing Training Course Online - TOPS Technologies","59","548","Join our online software testing training & certification course to master the latest software testing tools & techniques! Learn with experts and get 100% Job Placement Assistance!","180","1112","Software Testing Training Course Online","39","Software Testing Training Course Online","39","Our Facts and Figures","21","Key Highlights","14","","","","https://www.tops-int.com/software-testing-training-course-online","","","","","","224558","23691","23691","9.226","","1581","382","4.139","65.219","Normal","7.537","1","0","","386","187","0","99.470","270","127","0","23","17","0","","","","","6224f351b07bcd4dbef7ce7a2d3ec3b9","0.586","","","","","en","1.1","","https://www.tops-int.com/software-testing-training-course-online","2025-05-26 13:15:46"
"https://www.tops-int.com/machine-learning-course","text/html; charset=UTF-8","200","OK","Indexable","","Machine Learning Course - TOPS Technologies","43","417","Our Institute offers the ✅ Machine Learning course, Classes & extensive Training. Learn Machine Learning Certification Courses with our experts to get a Job at an MNC.","167","1038","Machine Learning Course","23","Machine Learning Course","23","Our Facts and Figures","21","Key Highlights","14","","","","https://www.tops-int.com/machine-learning-course","","","","","","288891","37387","37387","14.560","","4837","827","5.849","53.579","Fairly Hard","13.554","1","0","","392","187","0","99.470","278","129","0","25","19","0","","","","","1adf7db21ae0650e12b73956c68bfb39","0.522","","","","","en","1.1","","https://www.tops-int.com/machine-learning-course","2025-05-26 13:15:46"
